bill_id,chamber,vote_id,OKL000148,OKL000173,OKL000267,OKL000180,OKL000254,OKL000172,OKL000193,OKL000197,OKL000186,OKL000167,OKL000200,OKL000257,OKL000179,OKL000183,OKL000065,OKL000185,OKL000190,OKL000078,OKL000261,OKL000187,OKL000203,OKL000071,OKL000178,OKL000165,OKL000164,OKL000191,OKL000264,OKL000194,OKL000175,OKL000195,OKL000202,OKL000253,OKL000266,OKL000189,OKL000169,OKL000096,OKL000166,OKL000058,OKL000116,OKL000066,OKL000093,OKL000051,OKL000064,OKL000103,OKL000086,OKL000074,OKL000092,OKL000115,OKL000056,OKL000123,OKL000090,OKL000109,OKL000146,OKL000108,OKL000132,OKL000143,OKL000125,OKL000118,OKL000111,OKL000121,OKL000098,OKL000060,OKL000104,OKL000105,OKL000087,OKL000113,OKL000054,OKL000124,OKL000126,OKL000057,OKL000100,OKL000106,OKL000133,OKL000077,OKL000134,OKL000149,OKL000082,OKL000174,OKL000130,OKL000061,OKL000084,OKL000097,OKL000110,OKL000127,OKL000147,OKL000055,OKL000062,OKL000129,OKL000140,OKL000075,OKL000063,OKL000072,OKL000089,OKL000107,OKL000069,OKL000059,OKL000144,OKL000081,OKL000101,OKL000171,OKL000262,OKL000008,OKL000181,OKL000040,OKL000159,OKL000158,OKL000161,OKL000196,OKL000160,OKL000156,OKL000258,OKL000199,OKL000157,OKL000255,OKL000163,OKL000176,OKL000020,OKL000004,OKL000023,OKL000041,OKL000010,OKL000022,OKL000042,OKL000006,OKL000027,OKL000048,OKL000012,OKL000019,OKL000034,OKL000016,OKL000028,OKL000003,OKL000021,OKL000045,OKL000031,OKL000155,OKL000007,OKL000011,OKL000015,OKL000043,OKL000046,OKL000032,OKL000036,OKL000044,OKL000114,OKL000168,OKL000117
OKB00011581,upper,OKV00012233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,2,1,1,1,1,1,1,1,2,,1,1,1,1,,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1
OKB00012002,upper,OKV00013150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,,1,2,2,1
OKB00012002,lower,OKV00013359,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,1,1,1,1,1,,1,1,,1,1,1,1,1,1,,,1,,1,1,1,1,,,1,1,1,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,1,1,1,,1,1,1,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00011041,upper,OKV00012285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,1,2,1,2,2,1,1,1,1,1,1,2,,1,1,1,1
OKB00011041,lower,OKV00012735,1,,2,1,2,,2,1,1,2,1,2,1,1,1,1,2,,1,1,1,2,2,1,,2,1,1,1,1,2,1,1,2,1,2,,2,1,2,2,2,,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,2,,,1,,1,2,1,1,1,,1,1,2,1,1,1,2,2,1,1,,1,1,1,,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00012003,lower,OKV00013262,,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,,2,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00012003,upper,OKV00013362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1
OKB00012005,upper,OKV00013154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,,1,2,2,1
OKB00012005,lower,OKV00013371,2,1,1,1,1,1,1,1,1,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,,,1,1,1,2,1,1,,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,1,,1,1,1,1,1,1,1,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00009857,lower,OKV00011678,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00009857,upper,OKV00012752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,1,1,,2,2,1,2,1,1,1
OKB00011666,lower,OKV00011917,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00011666,upper,OKV00012758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,,1,,1,1,1,1,1,,1,1
OKB00010499,lower,OKV00012008,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010499,upper,OKV00012776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1
OKB00011300,lower,OKV00012026,,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00011300,upper,OKV00012993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,,,1,,1,1,1,1,1
OKB00012026,upper,OKV00013157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OKB00012026,lower,OKV00013377,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,,2,2,1,2,2,2,2,2,1,2,2,2,2,2,,1,2,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,1,2,,1,2,1,,2,2,2,2,1,2,2,2,1,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00012006,upper,OKV00013280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,2,,1,1,1,1,1,2,1,1,1,2,1,,2,1,,2,1,,2,1
OKB00012006,lower,OKV00013375,2,1,1,1,1,1,1,1,1,,1,,1,,1,1,1,,,1,1,1,,1,1,1,1,,1,1,1,1,,1,,,1,1,1,1,1,,,,1,,,2,,1,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,1,1,,1,1,1,1,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00011996,upper,OKV00013144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,,1,2,2,1
OKB00011996,lower,OKV00013329,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,,,1,2,1,1,1,,1,2,1,,1,1,1,1,1,,1,1,1,1,1,1,,,,1,1,2,2,2,1,2,1,1,1,2,1,2,,1,1,1,2,1,1,1,1,,1,1,1,2,1,2,1,2,1,2,,1,1,1,,,,1,1,1,2,1,,1,,1,1,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010145,lower,OKV00012212,,2,2,2,1,1,1,2,2,1,2,1,1,2,1,1,1,,2,1,2,1,1,1,,2,2,2,2,1,1,1,1,1,,1,1,,2,1,1,1,,1,1,1,2,2,2,2,2,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,,1,1,,2,1,1,2,,1,2,1,1,1,1,,,2,1,1,1,1,2,2,1,2,,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010145,upper,OKV00012944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,,1,2,1,1,2,1,2,1,1,1,1,1,,1,2,1,1,1,1,1
OKB00011999,upper,OKV00013147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,,1,2,2,1
OKB00011999,lower,OKV00013341,2,1,1,2,1,1,1,1,2,1,1,1,1,,1,1,1,,,1,1,1,,1,,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,,,1,1,,2,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,,1,1,1,,,,1,1,1,1,1,1,1,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00012034,lower,OKV00013217,,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,,2,1,2,1,1,1,1,1,2,1,2,,1,1,1,1,1,1,1,1,2,1,1,1,,,1,1,2,2,2,1,2,1,1,1,2,1,2,2,1,1,1,2,1,1,1,,2,1,1,1,2,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,,2,1,1,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00012034,upper,OKV00013347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,,1,2,2,1
OKB00010271,lower,OKV00011632,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,1,1,,1,1,1,,1,1,1,2,1,1,2,1,,1,1,1,1,1,1,,1,1,1,2,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010271,upper,OKV00012631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,,1,1,1,1,1,2,1,2,2,1
OKB00011180,upper,OKV00012347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,1,1,1,2,1,1,1,1,1,,,1,1,1,,1,1,,1,1,,1,2,2,1
OKB00011180,lower,OKV00012974,2,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,2,,2,1,2,1,1,1,1,1,2,,,1,1,1,1,1,1,2,1,1,1,1,1,1,,,1,1,2,,2,1,2,1,1,2,2,1,2,2,1,2,1,2,1,2,1,1,2,1,1,2,,1,2,1,2,1,,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010855,lower,OKV00011738,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,,,1,1,,1,1,,1,1,1,1,2,1,1,1,1,1,1,1,,1,1,1,,1,2,1,,,1,1,1,1,1,1,1,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
