leg_id,OKL000148,OKL000173,OKL000267,OKL000180,OKL000254,OKL000172,OKL000193,OKL000197,OKL000186,OKL000167,OKL000200,OKL000257,OKL000179,OKL000183,OKL000065,OKL000185,OKL000190,OKL000078,OKL000261,OKL000187,OKL000203,OKL000071,OKL000178,OKL000165,OKL000164,OKL000191,OKL000264,OKL000194,OKL000175,OKL000195,OKL000202,OKL000253,OKL000266,OKL000189,OKL000169,OKL000096,OKL000166,OKL000058,OKL000116,OKL000066,OKL000093,OKL000051,OKL000064,OKL000103,OKL000086,OKL000074,OKL000092,OKL000115,OKL000056,OKL000123,OKL000090,OKL000109,OKL000146,OKL000108,OKL000132,OKL000143,OKL000125,OKL000118,OKL000111,OKL000121,OKL000098,OKL000060,OKL000104,OKL000105,OKL000087,OKL000113,OKL000054,OKL000124,OKL000126,OKL000057,OKL000100,OKL000106,OKL000133,OKL000077,OKL000134,OKL000149,OKL000082,OKL000174,OKL000130,OKL000061,OKL000084,OKL000097,OKL000110,OKL000127,OKL000147,OKL000055,OKL000062,OKL000129,OKL000140,OKL000075,OKL000063,OKL000072,OKL000089,OKL000107,OKL000069,OKL000059,OKL000144,OKL000081,OKL000101,OKL000171,OKL000262,OKL000008,OKL000181,OKL000040,OKL000159,OKL000158,OKL000161,OKL000196,OKL000160,OKL000156,OKL000258,OKL000199,OKL000157,OKL000255,OKL000163,OKL000176,OKL000020,OKL000004,OKL000023,OKL000041,OKL000010,OKL000022,OKL000042,OKL000006,OKL000027,OKL000048,OKL000012,OKL000019,OKL000034,OKL000016,OKL000028,OKL000003,OKL000021,OKL000045,OKL000031,OKL000155,OKL000007,OKL000011,OKL000015,OKL000043,OKL000046,OKL000032,OKL000036,OKL000044,OKL000114,OKL000168,OKL000117
OKL000148,1.0,0.6307692307692307,0.6137724550898204,0.718266253869969,0.638235294117647,0.6372881355932203,0.6331360946745562,0.6178343949044586,0.8288288288288288,0.6285714285714286,0.867741935483871,0.6072507552870091,0.6785714285714286,0.6396396396396397,0.6687898089171974,0.6566265060240963,0.6626865671641791,x,0.8503937007874016,0.6766666666666666,0.7610619469026548,0.6136363636363636,0.625,0.649546827794562,0.6375838926174496,0.6172106824925816,0.8090909090909091,0.6277602523659306,0.744807121661721,0.6371951219512195,0.6083086053412463,0.6385542168674698,0.6470588235294118,0.6234939759036144,0.6952054794520548,0.617737003058104,0.6517241379310345,0.664,0.7427652733118971,0.6331360946745562,0.6549707602339181,0.645367412140575,0.746268656716418,0.8883720930232558,0.6796407185628742,0.6419354838709678,0.7876712328767124,0.8502994011976048,0.7787878787878788,0.6712328767123288,0.8116883116883117,0.643312101910828,0.6655844155844156,0.677710843373494,0.88,0.6363636363636364,0.7554858934169278,0.8303886925795053,0.6597014925373135,0.6065573770491803,0.6479289940828402,0.7589285714285714,0.6272727272727273,0.6169590643274854,0.6132930513595166,0.656441717791411,0.7953795379537953,0.6317460317460317,0.6162361623616236,0.6646706586826348,0.8072289156626506,0.6496815286624203,0.8317460317460318,0.6617647058823529,0.7692307692307693,0.6325301204819277,0.8295081967213115,0.6577181208053692,0.6340694006309149,0.6432926829268293,0.6055045871559633,0.823943661971831,0.6723549488054608,0.629746835443038,0.6363636363636364,0.6312684365781711,0.6329113924050633,0.7912457912457912,0.6755852842809364,0.6231003039513677,0.6610169491525424,0.8037037037037037,0.6888111888111889,0.599388379204893,0.6357388316151202,0.622356495468278,0.8928571428571429,0.8389057750759878,0.6242603550295858,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
OKL000173,0.6307692307692307,1.0,0.9139579349904398,0.8526522593320236,0.8954372623574145,0.9173728813559322,0.9082217973231358,0.932,0.7528735632183908,0.8609406952965235,0.7323943661971831,0.845703125,0.896551724137931,0.916504854368932,0.8817427385892116,0.9073359073359073,0.8797709923664122,x,0.7602905569007264,0.8928571428571429,0.8098859315589354,0.8916155419222904,0.9013539651837524,0.8701550387596899,0.9057815845824411,0.8888888888888888,0.8229571984435797,0.9244897959183673,0.8275862068965517,0.9130434782608695,0.9032882011605415,0.9196940726577438,0.9089108910891089,0.8934108527131783,0.8926174496644296,0.8986083499005965,0.9345991561181435,0.896,0.8565656565656565,0.8956356736242884,0.9171374764595104,0.879837067209776,0.9180327868852459,0.7394957983193278,0.8957528957528957,0.8674948240165632,0.7712418300653595,0.7533460803059273,0.8204633204633205,0.915948275862069,0.7910112359550562,0.9090909090909091,0.9071729957805907,0.9013539651837524,0.6513761467889908,0.909433962264151,0.7802874743326489,0.759009009009009,0.9177820267686424,0.8043010752688172,0.920303605313093,0.8365019011406845,0.9092664092664092,0.8442776735459663,0.8660194174757282,0.888235294117647,0.7673913043478261,0.8995983935742972,0.8654708520179372,0.9003831417624522,0.7033898305084746,0.8768267223382046,0.7426160337552743,0.8659003831417624,0.8352668213457076,0.9013806706114399,0.7873303167420814,0.9261603375527426,0.9161676646706587,0.8990291262135922,0.9041095890410958,0.795774647887324,0.9161147902869757,0.9134808853118712,0.8989473684210526,0.8662790697674418,0.8514644351464435,0.8087912087912088,0.9053763440860215,0.9090909090909091,0.8771929824561403,0.7933491686460807,0.8947368421052632,0.899803536345776,0.8957345971563981,0.9268774703557312,0.7310704960835509,0.7760617760617761,0.8944337811900192,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
OKL000267,0.6137724550898204,0.9139579349904398,1.0,0.8333333333333334,0.9072727272727272,0.927536231884058,0.9122486288848263,0.9314285714285714,0.7476979742173112,0.8757396449704142,0.7332053742802304,0.8405253283302064,0.9045871559633027,0.9387755102040817,0.8860510805500982,0.9183673469387755,0.9065934065934066,x,0.7597254004576659,0.902834008097166,0.8142076502732241,0.8901960784313725,0.8888888888888888,0.8701298701298701,0.9338842975206612,0.9010989010989011,0.8220973782771536,0.9280155642023347,0.8296703296703297,0.9071969696969697,0.8990654205607477,0.9304029304029304,0.9357277882797732,0.9035250463821892,0.9057815845824411,0.9080459770114943,0.9348268839103869,0.9056122448979592,0.8442307692307692,0.9074410163339383,0.9297297297297298,0.8988326848249028,0.9128787878787878,0.7236842105263158,0.9149722735674677,0.9007936507936508,0.7708333333333334,0.7326007326007326,0.8181818181818182,0.9041666666666667,0.789587852494577,0.9186046511627907,0.9146341463414634,0.9165120593692022,0.649890590809628,0.9187725631768953,0.783203125,0.7628205128205128,0.9288321167883211,0.8189300411522634,0.9128856624319419,0.8309090909090909,0.9022140221402214,0.8402154398563735,0.87569573283859,0.9063670411985019,0.758985200845666,0.9134615384615384,0.8908296943231441,0.9174311926605505,0.6910569105691057,0.904,0.7353535353535353,0.8791208791208791,0.8226164079822617,0.9056603773584906,0.7931034482758621,0.9151515151515152,0.9217557251908397,0.9087523277467412,0.9194756554307116,0.7905405405405406,0.9240506329113924,0.9310344827586207,0.8828282828282829,0.8770949720670391,0.8702594810379242,0.810752688172043,0.9052631578947369,0.9259259259259259,0.8863157894736842,0.7967667436489607,0.9002217294900222,0.9194756554307116,0.9318181818181818,0.9397363465160076,0.7249357326478149,0.7712177121771218,0.8931860036832413,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
OKL000180,0.718266253869969,0.8526522593320236,0.8333333333333334,1.0,0.8389513108614233,0.8540772532188842,0.8657844990548205,0.8441814595660749,0.8471698113207548,0.7739307535641547,0.8257425742574257,0.7547892720306514,0.8390151515151515,0.875717017208413,0.8591836734693877,0.8546845124282982,0.8625235404896422,x,0.8470588235294118,0.8752598752598753,0.9099437148217636,0.8189134808853119,0.8269961977186312,0.7973231357552581,0.851063829787234,0.8260869565217391,0.8944337811900192,0.8651911468812877,0.9262759924385633,0.8468992248062015,0.8301158301158301,0.8622641509433963,0.83203125,0.8295019157088123,0.8549450549450549,0.83399209486166,0.8529411764705882,0.8798955613577023,0.8986083499005965,0.8220973782771536,0.8717472118959108,0.8336673346693386,0.9105058365758755,0.8265582655826558,0.8647619047619047,0.8176229508196722,0.9036402569593148,0.8204158790170132,0.8967495219885278,0.8562231759656652,0.8775055679287305,0.8697394789579158,0.8846960167714885,0.8819047619047619,0.7577777777777778,0.8694029850746269,0.879837067209776,0.8744493392070485,0.869811320754717,0.7270788912579957,0.8467289719626169,0.9099437148217636,0.8609523809523809,0.7462962962962963,0.7877629063097514,0.833976833976834,0.8649237472766884,0.8234126984126984,0.8285077951002228,0.8617424242424242,0.8016759776536313,0.8515463917525773,0.8336798336798337,0.8412098298676749,0.9157175398633257,0.8604651162790697,0.8903803131991052,0.8410041841004184,0.8661417322834646,0.867816091954023,0.8265895953757225,0.8660508083140878,0.8755458515283843,0.8616600790513834,0.8020618556701031,0.7760617760617761,0.8198757763975155,0.8818380743982495,0.8801742919389978,0.8244274809160306,0.851931330472103,0.8933649289099526,0.8896551724137931,0.813953488372093,0.8594847775175644,0.8268482490272373,0.820580474934037,0.8636363636363636,0.8155893536121673,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
OKL000254,0.638235294117647,0.8954372623574145,0.9072727272727272,0.8389513108614233,1.0,0.9156378600823045,0.9290909090909091,0.9034090909090909,0.7737226277372263,0.8460038986354775,0.75,0.8293135435992579,0.9054545454545454,0.9264705882352942,0.916015625,0.9577205882352942,0.9202898550724637,x,0.782312925170068,0.9318637274549099,0.8339350180505415,0.8737864077669902,0.8825688073394495,0.8455882352941176,0.9185336048879837,0.8713768115942029,0.8367346938775511,0.9073359073359073,0.8457350272232305,0.9044943820224719,0.9111111111111111,0.9274047186932849,0.9101123595505618,0.8954128440366973,0.9216101694915254,0.920303605313093,0.9154929577464789,0.9090909090909091,0.8754789272030651,0.9046762589928058,0.9535714285714286,0.8596153846153847,0.9384615384615385,0.7427821522309711,0.9304029304029304,0.8860510805500982,0.7855670103092783,0.7477313974591652,0.8474264705882353,0.8845360824742268,0.8060344827586207,0.946257197696737,0.9395161290322581,0.9283088235294118,0.6809421841541756,0.9303571428571429,0.7984496124031008,0.7876857749469215,0.9311594202898551,0.803680981595092,0.9172661870503597,0.8594594594594595,0.9288321167883211,0.8113879003558719,0.8623853211009175,0.9018518518518519,0.7891440501043842,0.9066666666666666,0.8941684665226782,0.9218181818181819,0.692722371967655,0.9184890656063618,0.756,0.8731884057971014,0.8432671081677704,0.9328358208955224,0.8076923076923077,0.903420523138833,0.946969696969697,0.9300184162062615,0.8942486085343229,0.8187919463087249,0.9331941544885177,0.9127134724857685,0.874,0.8444444444444444,0.8919449901768173,0.8414376321353065,0.9147609147609148,0.9174311926605505,0.920997920997921,0.8082191780821918,0.9185022026431718,0.9052044609665427,0.9366515837104072,0.9180633147113594,0.7518987341772152,0.8007312614259597,0.8925318761384335,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
OKL000172,0.6372881355932203,0.9173728813559322,0.927536231884058,0.8540772532188842,0.9156378600823045,1.0,0.9358178053830227,0.9302325581395349,0.7713097713097713,0.8609865470852018,0.75054704595186,0.8505263157894737,0.927536231884058,0.9287211740041929,0.898876404494382,0.9305263157894736,0.9192546583850931,x,0.765625,0.9276018099547512,0.8288659793814434,0.9048672566371682,0.9224318658280922,0.8742138364779874,0.9156908665105387,0.9045643153526971,0.8333333333333334,0.9230769230769231,0.8322981366459627,0.9225806451612903,0.9057377049180327,0.9503105590062112,0.9168443496801706,0.9140461215932913,0.9108910891089109,0.9217758985200846,0.9439461883408071,0.9090909090909091,0.8577680525164114,0.919917864476386,0.9389002036659878,0.8984547461368654,0.9364406779661016,0.75,0.9334719334719335,0.8993288590604027,0.7799043062200957,0.7541322314049587,0.8427672955974843,0.9035294117647059,0.8014184397163121,0.922077922077922,0.9373601789709173,0.9308176100628931,0.6757425742574258,0.9366053169734151,0.7933333333333333,0.7579462102689487,0.9281314168377823,0.8272727272727273,0.918200408997955,0.845213849287169,0.9377593360995851,0.8235294117647058,0.8789144050104384,0.8985200845665962,0.792147806004619,0.9279475982532751,0.8837772397094431,0.9089026915113871,0.6785714285714286,0.9176201372997712,0.7562642369020501,0.8612836438923396,0.8432304038004751,0.9299363057324841,0.8064516129032258,0.9018264840182648,0.9307359307359307,0.918918918918919,0.9216101694915254,0.8154613466334164,0.9350961538461539,0.9259259259259259,0.8944954128440367,0.8588957055214724,0.897025171624714,0.831353919239905,0.9160997732426304,0.9243697478991597,0.9086651053864169,0.8010204081632653,0.9106280193236715,0.9234042553191489,0.9141414141414141,0.9358974358974359,0.7542857142857143,0.7917525773195876,0.8918918918918919,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
OKL000193,0.6331360946745562,0.9082217973231358,0.9122486288848263,0.8657844990548205,0.9290909090909091,0.9358178053830227,1.0,0.9238095238095239,0.7697974217311234,0.8478260869565217,0.747104247104247,0.8220973782771536,0.9102564102564102,0.9276437847866419,0.9230769230769231,0.9332096474953617,0.9506398537477148,x,0.7889908256880734,0.9574898785425101,0.8378870673952641,0.8941176470588236,0.8981481481481481,0.8568773234200744,0.917184265010352,0.8825688073394495,0.8448598130841122,0.914396887159533,0.8388278388278388,0.9054820415879017,0.9233644859813084,0.9542124542124543,0.9056603773584906,0.9109461966604824,0.9211087420042644,0.9314285714285714,0.9247967479674797,0.9316455696202531,0.8839458413926499,0.9001814882032668,0.9603603603603603,0.8776699029126214,0.9348659003831418,0.7513227513227513,0.9390018484288355,0.8866799204771372,0.7979166666666667,0.7545787545787546,0.8534322820037106,0.9022869022869023,0.8134490238611713,0.9459459459459459,0.9531568228105907,0.937037037037037,0.6776315789473685,0.945750452079566,0.8055009823182712,0.7827956989247312,0.9360146252285192,0.7962962962962963,0.9237749546279492,0.8672727272727273,0.9391143911439115,0.800718132854578,0.8534322820037106,0.9157303370786517,0.7928118393234672,0.9134615384615384,0.9126637554585153,0.9211009174311927,0.706199460916442,0.932,0.7630522088353414,0.8663003663003663,0.8526785714285714,0.960377358490566,0.8137044967880086,0.9065040650406504,0.9408396946564885,0.9646182495344506,0.9102803738317757,0.8130630630630631,0.9427966101694916,0.9213051823416507,0.8772635814889336,0.8376865671641791,0.9001996007984032,0.851931330472103,0.9308176100628931,0.9092592592592592,0.9327731092436975,0.8114942528735632,0.9376391982182628,0.9024390243902439,0.9427917620137299,0.9132075471698113,0.7544757033248082,0.8025830258302583,0.8786764705882353,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
OKL000197,0.6178343949044586,0.932,0.9314285714285714,0.8441814595660749,0.9034090909090909,0.9302325581395349,0.9238095238095239,1.0,0.7571701720841301,0.8603696098562629,0.738430583501006,0.8504854368932039,0.9141221374045801,0.9285714285714286,0.9055441478439425,0.9129593810444874,0.916030534351145,x,0.7559808612440191,0.9119496855345912,0.8273244781783681,0.8875255623721882,0.9131274131274131,0.8704061895551257,0.93058568329718,0.9139579349904398,0.8249027237354085,0.949290060851927,0.8244274809160306,0.9114173228346457,0.8871595330739299,0.933206106870229,0.9215686274509803,0.90715667311412,0.9147982062780269,0.9025844930417495,0.924643584521385,0.921832884097035,0.8568548387096774,0.9092627599243857,0.924953095684803,0.9026369168356998,0.9115384615384615,0.7313829787234043,0.9134615384615384,0.8864097363083164,0.7712418300653595,0.7414448669201521,0.8265895953757225,0.9021739130434783,0.7986425339366516,0.9198396793587175,0.9297872340425531,0.915057915057915,0.6455981941309256,0.924812030075188,0.787321063394683,0.7605321507760532,0.9070208728652751,0.8060344827586207,0.9281663516068053,0.8352272727272727,0.9252873563218391,0.8299065420560747,0.8667953667953668,0.90625,0.7760532150776053,0.9216867469879518,0.8704545454545455,0.9139579349904398,0.6798866855524079,0.9142259414225942,0.7521008403361344,0.8645038167938931,0.8277404921700223,0.9153543307086615,0.797752808988764,0.9150743099787686,0.9165009940357853,0.920388349514563,0.9163424124513618,0.7914691943127962,0.922566371681416,0.934,0.8947368421052632,0.8752436647173489,0.872651356993737,0.8151447661469933,0.9185022026431718,0.928709055876686,0.9008810572687225,0.7838479809976246,0.9209302325581395,0.9181286549707602,0.9158653846153846,0.9330708661417323,0.7277628032345014,0.783109404990403,0.9059500959692899,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
OKL000186,0.8288288288288288,0.7528735632183908,0.7476979742173112,0.8471698113207548,0.7737226277372263,0.7713097713097713,0.7697974217311234,0.7571701720841301,1.0,0.7247524752475247,0.8923076923076924,0.7105263157894737,0.7845303867403315,0.7728119180633147,0.7865612648221344,0.7847866419294991,0.7963302752293578,x,0.8804597701149425,0.7919191919191919,0.8647166361974405,0.7465618860510805,0.7527881040892194,0.7411545623836127,0.7468879668049793,0.7384898710865562,0.8878504672897196,0.748046875,0.8621323529411765,0.7784090909090909,0.7345794392523365,0.7702205882352942,0.7803030303030303,0.7579143389199255,0.8098290598290598,0.7504798464491362,0.790224032586558,0.7763496143958869,0.8488372093023255,0.7522768670309654,0.786618444846293,0.74609375,0.8307692307692308,0.887434554973822,0.8055555555555556,0.7663366336633664,0.8643006263048016,0.8713235294117647,0.8754646840148699,0.7828810020876826,0.8673913043478261,0.7816764132553606,0.787321063394683,0.8044692737430168,0.8318777292576419,0.7749546279491834,0.8450980392156863,0.8663793103448276,0.782051282051282,0.6845360824742268,0.7905282331511839,0.8594890510948905,0.7726432532347505,0.7171171171171171,0.7379182156133829,0.7879924953095685,0.8562367864693446,0.7649325626204239,0.7527352297592997,0.7867647058823529,0.8387978142076503,0.7862903225806451,0.8704453441295547,0.7775735294117647,0.8688888888888889,0.7575757575757576,0.9155844155844156,0.7596741344195519,0.7858508604206501,0.7775700934579439,0.7462406015037594,0.8642533936651584,0.809322033898305,0.7687861271676301,0.7449392712550608,0.7303370786516854,0.7644710578842315,0.8650963597430407,0.7894736842105263,0.7546468401486989,0.7705263157894737,0.8773148148148148,0.8013392857142857,0.7481203007518797,0.776255707762557,0.7556818181818182,0.8923076923076924,0.9,0.7393715341959335,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
OKL000167,0.6285714285714286,0.8609406952965235,0.8757396449704142,0.7739307535641547,0.8460038986354775,0.8609865470852018,0.8478260869565217,0.8603696098562629,0.7247524752475247,1.0,0.7157464212678937,0.92,0.8543307086614174,0.8330019880715706,0.7966101694915254,0.8373015873015873,0.8264299802761341,x,0.7196029776674938,0.8154506437768241,0.7514677103718199,0.9175475687103594,0.8908730158730159,0.876,0.8410596026490066,0.8777120315581854,0.748995983935743,0.825,0.7593688362919132,0.8658536585365854,0.869215291750503,0.8565815324165029,0.890020366598778,0.8767395626242545,0.8195991091314031,0.8639175257731959,0.8706140350877193,0.8333333333333334,0.7666666666666667,0.8828125,0.8375241779497099,0.8914405010438413,0.8865546218487395,0.7288629737609329,0.8435643564356435,0.8393234672304439,0.7400881057268722,0.7431372549019608,0.7669322709163346,0.8432671081677704,0.7419354838709677,0.8166666666666667,0.8171806167400881,0.8187250996015937,0.6651053864168618,0.8640776699029126,0.7276422764227642,0.7165532879818595,0.8408644400785854,0.910913140311804,0.8682170542635659,0.7632093933463796,0.831013916500994,0.8764478764478765,0.9203187250996016,0.8467741935483871,0.7116704805491991,0.8674948240165632,0.8501170960187353,0.8523622047244095,0.6610644257703081,0.8382978723404255,0.7133479212253829,0.84251968503937,0.779126213592233,0.8296146044624746,0.7611241217798594,0.8744493392070485,0.8183673469387756,0.8273092369477911,0.896969696969697,0.7204819277108434,0.8257918552036199,0.8515463917525773,0.9100642398286938,0.9032258064516129,0.8151260504201681,0.7562642369020501,0.806378132118451,0.890625,0.7910112359550562,0.7408312958435208,0.7995226730310262,0.8911290322580645,0.8276699029126213,0.8744939271255061,0.6648648648648648,0.7559523809523809,0.8958742632612967,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
